candidate_index,episode,risk_offset_x_m,risk_offset_y_m,passed,settle_max_relative_drift_m,settle_max_relative_rotation_deg,settle_max_linear_speed_m_s,settle_max_angular_speed_rad_s,settle_full_window_finite,wait_max_relative_drift_m,wait_max_relative_rotation_deg,wait_max_relative_linear_speed_m_s,wait_max_relative_angular_speed_rad_s,wait_max_world_linear_speed_m_s,wait_max_world_angular_speed_rad_s,wait_max_anchor_excess_m,wait_full_window_finite,full_window_inside,full_window_support,forbidden_target_contact,forbidden_robot_contact,occupant_pixels_t0,occupant_pixels_policy_start,max_non_occupant_state_diff
2,4,-0.005,-0.01,1,3.4220027367034264e-12,4.182619578303746e-06,4.5697264475345855e-12,6.861816736191503e-14,1,0.0003184190422451024,0.03303973128981315,0.0063688755203017535,0.011534613546202657,0.48987395250989035,0.1734317591089211,9.602919760276802e-06,1,1,1,0,0,185,197,0.0
2,5,-0.005,-0.01,1,3.422111192571004e-12,4.353408482428141e-06,4.5697770365811335e-12,6.77334531472689e-14,1,0.00031841903285197354,0.03303975266808742,0.006368875332218462,0.011534621023011572,0.4898739525098859,0.17343174476799447,9.602923613069673e-06,1,1,1,0,0,193,188,0.0
2,6,-0.005,-0.01,1,3.422166942273397e-12,4.676310850554341e-06,4.5699533355341086e-12,7.145407455143437e-14,1,0.00031841902257461385,0.033039776208441514,0.0063688751264223695,0.011534629200525143,0.4898739525098326,0.1734317290575258,9.602927828384783e-06,1,1,1,0,0,190,179,0.0
2,7,-0.005,-0.01,1,3.421230090904223e-12,2.6998693283819165e-06,4.569975423533543e-12,7.818909851885198e-14,1,0.0003184190419403406,0.03303973188549281,0.0063688755141975886,0.01153461373870552,0.48987395250987487,0.17343175872558464,9.602919878020587e-06,1,1,1,0,0,179,191,0.0
3,0,-0.005,0.0,1,1.7482589077572485e-12,4.182619578303746e-06,2.3463094862821183e-12,6.215475843586941e-14,1,2.498160425546479e-06,0.001967064835918621,5.008960140301312e-05,0.0006981891015716343,0.4898745013561334,0.1771871372474062,8.665967187001886e-06,1,1,1,0,0,191,180,0.0
3,1,-0.005,0.0,1,1.7481853296823849e-12,3.6222548091772e-06,2.3468681217546306e-12,5.2934391746457845e-14,1,2.4981604253722646e-06,0.001967065947619496,5.0089601401788105e-05,0.0006981897376299839,0.4898745013561359,0.17718713724747226,8.66596718698002e-06,1,1,1,0,0,194,181,0.0
3,2,-0.005,0.0,1,1.7568359467525615e-12,3.6222548091772e-06,2.346149692288848e-12,5.36882541560694e-14,1,2.4981604257296892e-06,0.001967064465351523,5.008960140064355e-05,0.0006981889743598948,0.48987450135611704,0.1771871372475904,8.665967187049382e-06,1,1,1,0,0,195,179,0.0
3,3,-0.005,0.0,1,1.7569593110025056e-12,4.829673078902935e-06,2.34614768992641e-12,5.3271135918167294e-14,1,2.498160424982221e-06,0.001967064835918621,5.008960140161752e-05,0.0006981889743598948,0.48987450135614485,0.177187137247565,8.665967187086325e-06,1,1,1,0,0,186,188,0.0
3,4,-0.005,0.0,1,1.7482159369862916e-12,4.676310850554341e-06,2.345986452519957e-12,5.798069925949584e-14,1,2.498160425200822e-06,0.0019670663181863145,5.0089601400648365e-05,0.0006981896104183604,0.48987450135619803,0.17718713724761334,8.665967187065959e-06,1,1,1,0,0,189,184,0.0
3,5,-0.005,0.0,1,1.7482045699497513e-12,3.6222548091772e-06,2.3466383257901805e-12,5.408665852761539e-14,1,2.4981604250003502e-06,0.0019670678004528918,5.008960140167527e-05,0.0006981905008992385,0.48987450135613636,0.17718713724765928,8.665967187055455e-06,1,1,1,0,0,189,176,0.0
