candidate_index,episode,risk_offset_x_m,risk_offset_y_m,safe_candidate_index,safe_offset_x_m,safe_offset_y_m,passed,native_success,occupant_max_relative_drift_m,occupant_max_relative_rotation_deg,target_min_occupant_clearance_m,target_max_tilt_deg,target_max_linear_speed_m_s,target_max_angular_speed_rad_s,target_full_window_inside,target_full_window_support,target_full_window_finite,target_final_stable_streak
1,0,-0.01,0.0,7,-0.038891,-0.038891,0,0,0.05679343871380438,61.592309743913326,0.2598995882463596,89.99999765164887,1.2749929795600752e-15,4.4323421406669456e-14,0,0,1,0
1,1,-0.01,0.0,7,-0.038891,-0.038891,0,0,0.056793438713756694,61.59230974389567,0.19437311037331986,179.99916175252935,7.19332786129219e-16,3.700109095925346e-15,0,0,1,0
1,2,-0.01,0.0,7,-0.038891,-0.038891,0,0,0.05679343871379797,61.59230974390684,0.16172758387422428,0.0008382509489997679,6.667345066053032e-16,3.643161290402349e-15,0,0,1,0
1,3,-0.01,0.0,7,-0.038891,-0.038891,0,0,0.05679343871373201,61.59230974395125,0.17356394050891036,0.0008382509489997679,6.086300293999049e-16,1.165722559261424e-15,0,0,1,0
1,4,-0.01,0.0,7,-0.038891,-0.038891,0,0,0.05679343871390227,61.59230974382027,0.16648417447515673,0.0008382509489997679,5.20252705712687e-16,4.112314072517906e-15,0,0,1,0
1,5,-0.01,0.0,7,-0.038891,-0.038891,0,0,0.056793438713764105,61.59230974396349,0.2678561014760055,0.0008382509489997679,6.711490864527293e-16,3.951206670539045e-15,0,0,1,0
1,6,-0.01,0.0,7,-0.038891,-0.038891,0,0,0.05679343871370023,61.59230974384026,0.25275317412171683,179.99916174731183,3.9165997121271897e-16,3.0242152679778313e-15,0,0,1,0
1,7,-0.01,0.0,7,-0.038891,-0.038891,0,0,0.05679343871380013,61.59230974396411,0.2954803005557149,89.99999765164877,1.6247675926362318e-15,5.82065204222078e-14,0,0,1,0
2,0,-0.005,-0.01,0,0.038891,0.038891,0,0,0.016559694715356087,12.76994335487118,0.08729245486589537,112.36014548870016,3.663115292189131e-07,5.413394543986072e-06,1,1,1,0
2,1,-0.005,-0.01,0,0.038891,0.038891,0,0,0.016932625603942084,13.208538562803009,0.08748964699332475,112.30560776769552,3.7786189684479876e-07,6.247544340238498e-06,1,1,1,0
2,2,-0.005,-0.01,0,0.038891,0.038891,0,0,0.01757366581396364,13.66937926848373,0.08732277066051614,112.50055705166119,0.00799452851122352,0.2731516928454515,1,1,1,0
2,3,-0.005,-0.01,0,0.038891,0.038891,0,0,0.01602588796912102,12.188125788868122,0.0870011453672212,112.54097757235361,3.523935620192807e-07,4.3452325283830475e-06,1,1,1,0
2,4,-0.005,-0.01,0,0.038891,0.038891,0,0,0.016026117467299993,12.188546410975762,0.08700113966854207,112.54175814345791,3.523601399734444e-07,4.29228134015644e-06,1,1,1,0
2,5,-0.005,-0.01,0,0.038891,0.038891,0,0,0.018273220851821717,14.465109271632622,0.08808141504578458,112.39997922908451,4.2372335735185636e-07,9.074135344412972e-06,1,1,1,0
2,6,-0.005,-0.01,0,0.038891,0.038891,0,0,0.022637789474795156,18.39405864180526,0.08971406849597845,113.61581420917088,1.2596303867852644e-06,5.742254053950624e-05,1,1,1,0
2,7,-0.005,-0.01,0,0.038891,0.038891,0,0,0.015948483789026757,12.066881861434615,0.08694731557257139,112.65224320877944,3.5077959285016233e-07,4.092417172836175e-06,1,1,1,0
2,0,-0.005,-0.01,1,0.055,0.0,0,1,0.027176101675543896,16.873123822282945,0.056564375216560575,90.00066348699929,7.914901694347843e-12,1.128178119197472e-13,1,1,1,0
2,1,-0.005,-0.01,1,0.055,0.0,0,1,0.027176101675542446,16.873123822294865,0.056564375149860575,90.00066348697932,7.914363616249369e-12,1.0788380672416134e-13,1,1,1,0
2,2,-0.005,-0.01,1,0.055,0.0,0,1,0.027176101675544895,16.87312382229254,0.05656437538045577,90.00066348704988,7.914307106760389e-12,1.1559148420748938e-13,1,1,1,0
2,3,-0.005,-0.01,1,0.055,0.0,0,1,0.02717610167554516,16.873123822276103,0.05656437536985412,90.00066348704668,7.913974932707641e-12,1.040794632317346e-13,1,1,1,0
2,4,-0.005,-0.01,1,0.055,0.0,0,1,0.02717610167554368,16.873123822274835,0.05656437529599595,90.00066348702171,7.913974445204698e-12,1.0778662163760859e-13,1,1,1,0
2,5,-0.005,-0.01,1,0.055,0.0,0,1,0.02717610167554346,16.87312382226243,0.05656437525884692,90.00066348701063,7.913569757897742e-12,1.0631793842101423e-13,1,1,1,0
2,6,-0.005,-0.01,1,0.055,0.0,0,1,0.02717610167554423,16.87312382230661,0.05656437532263331,90.00066348703021,7.914359333198362e-12,1.0153153451442979e-13,1,1,1,0
